% output_type: 'OUTPUT_TYPE_SCATTER'
% log_source: 'SimulationHelper::ProgressCb'
% time_sec ut_id latitude_deg longitude_deg altitude_m
1.2 0 56 92.95 0
1.2 1 56.03 93 0
1.2 2 55.98 92.9 0
1.2 3 56.05 93.05 0
1.2 4 55.95 92.85 0
1.2 5 56 100.95 0
1.2 6 56.03 101 0
1.2 7 55.98 100.9 0
1.2 8 56.05 101.05 0
1.2 9 55.95 100.85 0
2.4 0 56 92.95 0
2.4 1 56.03 93 0
2.4 2 55.98 92.9 0
2.4 3 56.05 93.05 0
2.4 4 55.95 92.85 0
2.4 5 56 100.95 0
2.4 6 56.03 101 0
2.4 7 55.98 100.9 0
2.4 8 56.05 101.05 0
2.4 9 55.95 100.85 0
3.6 0 56 92.95 0
3.6 1 56.03 93 0
3.6 2 55.98 92.9 0
3.6 3 56.05 93.05 0
3.6 4 55.95 92.85 0
3.6 5 56 100.95 0
3.6 6 56.03 101 0
3.6 7 55.98 100.9 0
3.6 8 56.05 101.05 0
3.6 9 55.95 100.85 0
4.8 0 56 92.95 0
4.8 1 56.03 93 0
4.8 2 55.98 92.9 0
4.8 3 56.05 93.05 0
4.8 4 55.95 92.85 0
4.8 5 56 100.95 0
4.8 6 56.03 101 0
4.8 7 55.98 100.9 0
4.8 8 56.05 101.05 0
4.8 9 55.95 100.85 0
6 0 56 92.95 0
6 1 56.03 93 0
6 2 55.98 92.9 0
6 3 56.05 93.05 0
6 4 55.95 92.85 0
6 5 56 100.95 0
6 6 56.03 101 0
6 7 55.98 100.9 0
6 8 56.05 101.05 0
6 9 55.95 100.85 0
7.2 0 56 92.95 0
7.2 1 56.03 93 0
7.2 2 55.98 92.9 0
7.2 3 56.05 93.05 0
7.2 4 55.95 92.85 0
7.2 5 56 100.95 0
7.2 6 56.03 101 0
7.2 7 55.98 100.9 0
7.2 8 56.05 101.05 0
7.2 9 55.95 100.85 0
8.4 0 56 92.95 0
8.4 1 56.03 93 0
8.4 2 55.98 92.9 0
8.4 3 56.05 93.05 0
8.4 4 55.95 92.85 0
8.4 5 56 100.95 0
8.4 6 56.03 101 0
8.4 7 55.98 100.9 0
8.4 8 56.05 101.05 0
8.4 9 55.95 100.85 0
9.6 0 56 92.95 0
9.6 1 56.03 93 0
9.6 2 55.98 92.9 0
9.6 3 56.05 93.05 0
9.6 4 55.95 92.85 0
9.6 5 56 100.95 0
9.6 6 56.03 101 0
9.6 7 55.98 100.9 0
9.6 8 56.05 101.05 0
9.6 9 55.95 100.85 0
10.8 0 56 92.95 0
10.8 1 56.03 93 0
10.8 2 55.98 92.9 0
10.8 3 56.05 93.05 0
10.8 4 55.95 92.85 0
10.8 5 56 100.95 0
10.8 6 56.03 101 0
10.8 7 55.98 100.9 0
10.8 8 56.05 101.05 0
10.8 9 55.95 100.85 0
12 0 56 92.95 0
12 1 56.03 93 0
12 2 55.98 92.9 0
12 3 56.05 93.05 0
12 4 55.95 92.85 0
12 5 56 100.95 0
12 6 56.03 101 0
12 7 55.98 100.9 0
12 8 56.05 101.05 0
12 9 55.95 100.85 0
13.2 0 56 92.95 0
13.2 1 56.03 93 0
13.2 2 55.98 92.9 0
13.2 3 56.05 93.05 0
13.2 4 55.95 92.85 0
13.2 5 56 100.95 0
13.2 6 56.03 101 0
13.2 7 55.98 100.9 0
13.2 8 56.05 101.05 0
13.2 9 55.95 100.85 0
14.4 0 56 92.95 0
14.4 1 56.03 93 0
14.4 2 55.98 92.9 0
14.4 3 56.05 93.05 0
14.4 4 55.95 92.85 0
14.4 5 56 100.95 0
14.4 6 56.03 101 0
14.4 7 55.98 100.9 0
14.4 8 56.05 101.05 0
14.4 9 55.95 100.85 0
15.6 0 56 92.95 0
15.6 1 56.03 93 0
15.6 2 55.98 92.9 0
15.6 3 56.05 93.05 0
15.6 4 55.95 92.85 0
15.6 5 56 100.95 0
15.6 6 56.03 101 0
15.6 7 55.98 100.9 0
15.6 8 56.05 101.05 0
15.6 9 55.95 100.85 0
16.8 0 56 92.95 0
16.8 1 56.03 93 0
16.8 2 55.98 92.9 0
16.8 3 56.05 93.05 0
16.8 4 55.95 92.85 0
16.8 5 56 100.95 0
16.8 6 56.03 101 0
16.8 7 55.98 100.9 0
16.8 8 56.05 101.05 0
16.8 9 55.95 100.85 0
18 0 56 92.95 0
18 1 56.03 93 0
18 2 55.98 92.9 0
18 3 56.05 93.05 0
18 4 55.95 92.85 0
18 5 56 100.95 0
18 6 56.03 101 0
18 7 55.98 100.9 0
18 8 56.05 101.05 0
18 9 55.95 100.85 0
19.2 0 56 92.95 0
19.2 1 56.03 93 0
19.2 2 55.98 92.9 0
19.2 3 56.05 93.05 0
19.2 4 55.95 92.85 0
19.2 5 56 100.95 0
19.2 6 56.03 101 0
19.2 7 55.98 100.9 0
19.2 8 56.05 101.05 0
19.2 9 55.95 100.85 0
20.4 0 56 92.95 0
20.4 1 56.03 93 0
20.4 2 55.98 92.9 0
20.4 3 56.05 93.05 0
20.4 4 55.95 92.85 0
20.4 5 56 100.95 0
20.4 6 56.03 101 0
20.4 7 55.98 100.9 0
20.4 8 56.05 101.05 0
20.4 9 55.95 100.85 0
21.6 0 56 92.95 0
21.6 1 56.03 93 0
21.6 2 55.98 92.9 0
21.6 3 56.05 93.05 0
21.6 4 55.95 92.85 0
21.6 5 56 100.95 0
21.6 6 56.03 101 0
21.6 7 55.98 100.9 0
21.6 8 56.05 101.05 0
21.6 9 55.95 100.85 0
22.8 0 56 92.95 0
22.8 1 56.03 93 0
22.8 2 55.98 92.9 0
22.8 3 56.05 93.05 0
22.8 4 55.95 92.85 0
22.8 5 56 100.95 0
22.8 6 56.03 101 0
22.8 7 55.98 100.9 0
22.8 8 56.05 101.05 0
22.8 9 55.95 100.85 0
24 0 56 92.95 0
24 1 56.03 93 0
24 2 55.98 92.9 0
24 3 56.05 93.05 0
24 4 55.95 92.85 0
24 5 56 100.95 0
24 6 56.03 101 0
24 7 55.98 100.9 0
24 8 56.05 101.05 0
24 9 55.95 100.85 0
25.2 0 56 92.95 0
25.2 1 56.03 93 0
25.2 2 55.98 92.9 0
25.2 3 56.05 93.05 0
25.2 4 55.95 92.85 0
25.2 5 56 100.95 0
25.2 6 56.03 101 0
25.2 7 55.98 100.9 0
25.2 8 56.05 101.05 0
25.2 9 55.95 100.85 0
