% output_type: 'OUTPUT_TYPE_SCATTER'
% log_source: 'SimulationHelper::ProgressCb'
% time_sec gw_id latitude_deg longitude_deg altitude_m
1.2 0 56.02 92.98 0
1.2 1 55.97 92.88 0
1.2 2 56.02 100.98 0
1.2 3 55.97 100.88 0
2.4 0 56.02 92.98 0
2.4 1 55.97 92.88 0
2.4 2 56.02 100.98 0
2.4 3 55.97 100.88 0
3.6 0 56.02 92.98 0
3.6 1 55.97 92.88 0
3.6 2 56.02 100.98 0
3.6 3 55.97 100.88 0
4.8 0 56.02 92.98 0
4.8 1 55.97 92.88 0
4.8 2 56.02 100.98 0
4.8 3 55.97 100.88 0
6 0 56.02 92.98 0
6 1 55.97 92.88 0
6 2 56.02 100.98 0
6 3 55.97 100.88 0
7.2 0 56.02 92.98 0
7.2 1 55.97 92.88 0
7.2 2 56.02 100.98 0
7.2 3 55.97 100.88 0
8.4 0 56.02 92.98 0
8.4 1 55.97 92.88 0
8.4 2 56.02 100.98 0
8.4 3 55.97 100.88 0
9.6 0 56.02 92.98 0
9.6 1 55.97 92.88 0
9.6 2 56.02 100.98 0
9.6 3 55.97 100.88 0
10.8 0 56.02 92.98 0
10.8 1 55.97 92.88 0
10.8 2 56.02 100.98 0
10.8 3 55.97 100.88 0
12 0 56.02 92.98 0
12 1 55.97 92.88 0
12 2 56.02 100.98 0
12 3 55.97 100.88 0
13.2 0 56.02 92.98 0
13.2 1 55.97 92.88 0
13.2 2 56.02 100.98 0
13.2 3 55.97 100.88 0
14.4 0 56.02 92.98 0
14.4 1 55.97 92.88 0
14.4 2 56.02 100.98 0
14.4 3 55.97 100.88 0
15.6 0 56.02 92.98 0
15.6 1 55.97 92.88 0
15.6 2 56.02 100.98 0
15.6 3 55.97 100.88 0
16.8 0 56.02 92.98 0
16.8 1 55.97 92.88 0
16.8 2 56.02 100.98 0
16.8 3 55.97 100.88 0
18 0 56.02 92.98 0
18 1 55.97 92.88 0
18 2 56.02 100.98 0
18 3 55.97 100.88 0
19.2 0 56.02 92.98 0
19.2 1 55.97 92.88 0
19.2 2 56.02 100.98 0
19.2 3 55.97 100.88 0
20.4 0 56.02 92.98 0
20.4 1 55.97 92.88 0
20.4 2 56.02 100.98 0
20.4 3 55.97 100.88 0
21.6 0 56.02 92.98 0
21.6 1 55.97 92.88 0
21.6 2 56.02 100.98 0
21.6 3 55.97 100.88 0
22.8 0 56.02 92.98 0
22.8 1 55.97 92.88 0
22.8 2 56.02 100.98 0
22.8 3 55.97 100.88 0
24 0 56.02 92.98 0
24 1 55.97 92.88 0
24 2 56.02 100.98 0
24 3 55.97 100.88 0
25.2 0 56.02 92.98 0
25.2 1 55.97 92.88 0
25.2 2 56.02 100.98 0
25.2 3 55.97 100.88 0
26.4 0 56.02 92.98 0
26.4 1 55.97 92.88 0
26.4 2 56.02 100.98 0
26.4 3 55.97 100.88 0
27.6 0 56.02 92.98 0
27.6 1 55.97 92.88 0
27.6 2 56.02 100.98 0
27.6 3 55.97 100.88 0
28.8 0 56.02 92.98 0
28.8 1 55.97 92.88 0
28.8 2 56.02 100.98 0
28.8 3 55.97 100.88 0
30 0 56.02 92.98 0
30 1 55.97 92.88 0
30 2 56.02 100.98 0
30 3 55.97 100.88 0
31.2 0 56.02 92.98 0
31.2 1 55.97 92.88 0
